DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Salsa,167774,Mk10,01:24:34 30-Apr-2017,Argos,B,34.2825,-120.7390,7084,38998,1286,94,,,,,,Lon > 4 deviations from mean
Salsa,167774,Mk10,02:19:38 30-Apr-2017,Argos,B,34.2759,-120.8925,175301,,,,,,,,,
Salsa,167774,Mk10,03:03:53 30-Apr-2017,Argos,1,34.2800,-121.5883,855,1442,506,108,,,,,,
Salsa,167774,Mk10,03:36:26 30-Apr-2017,Argos,B,34.2758,-121.7114,11049,13759,8871,89,,,,,,
Salsa,167774,Mk10,04:05:43 30-Apr-2017,Argos,B,34.2722,-121.8221,14401,17993,11525,90,,,,,,
Salsa,167774,Mk10,02:05:59 01-May-2017,Argos,A,34.0911,-121.7148,9578,111595,822,82,,,,,,
Salsa,167774,Mk10,02:33:51 01-May-2017,Argos,A,34.0840,-121.6786,5613,26984,1167,97,,,,,,
Salsa,167774,Mk10,03:09:08 01-May-2017,Argos,B,34.0823,-121.6671,2484,5442,1133,96,,,,,,
Salsa,167774,Mk10,04:13:01 01-May-2017,Argos,B,34.0719,-121.6246,2362,4547,1226,93,,,,,,
Salsa,167774,Mk10,02:01:43 02-May-2017,Argos,2,34.0122,-122.1097,355,642,196,87,,,,,,
Salsa,167774,Mk10,02:07:52 02-May-2017,Argos,3,34.0106,-122.1102,158,256,97,99,,,,,,
Salsa,167774,Mk10,02:46:26 02-May-2017,Argos,3,34.0035,-122.1279,148,302,72,114,,,,,,
Salsa,167774,Mk10,03:35:25 02-May-2017,Argos,B,34.0016,-122.0787,7072,8454,5916,88,,,,,,
Salsa,167774,Mk10,01:32:00 03-May-2017,Argos,2,34.0333,-122.1914,422,1953,91,79,,,,,,
Salsa,167774,Mk10,01:47:06 03-May-2017,Argos,B,34.0348,-122.1899,580,2800,120,47,,,,,,
Salsa,167774,Mk10,02:21:01 03-May-2017,Argos,B,34.0298,-122.1850,644,12033,34,80,,,,,,
Salsa,167774,Mk10,03:09:21 03-May-2017,Argos,3,34.0149,-122.2111,196,472,81,84,,,,,,
Salsa,167774,Mk10,03:35:14 03-May-2017,Argos,B,34.0159,-122.2090,1703,2069,1400,92,,,,,,
Salsa,167774,Mk10,01:44:03 04-May-2017,Argos,B,33.8178,-122.1492,10352,10873,9856,58,,,,,,
Salsa,167774,Mk10,02:39:38 04-May-2017,Argos,1,33.6693,-122.2072,796,4396,144,100,,,,,,
Salsa,167774,Mk10,03:19:27 04-May-2017,Argos,B,33.6315,-122.2244,1415,12122,165,46,,,,,,
Salsa,167774,Mk10,03:44:33 04-May-2017,Argos,B,33.6756,-122.1834,3488,11553,1053,44,,,,,,
Salsa,167774,Mk10,18:38:29 04-May-2017,Argos,0,33.6561,-122.2134,3124,16950,575,123,,,,,,
Salsa,167774,Mk10,02:04:26 05-May-2017,Argos,3,33.6474,-122.0119,152,451,51,105,,,,,,
Salsa,167774,Mk10,03:08:49 05-May-2017,Argos,3,33.6607,-122.0082,180,464,69,79,,,,,,
Salsa,167774,Mk10,03:11:38 05-May-2017,Argos,2,33.6509,-122.0013,282,383,207,112,,,,,,
